ID,Nome_Scuola,Citta,Land,OID_Erasmus,Sito_Web,Nome_Referente,Ruolo,Email,Tel,Fonte_URL,Note
DE-0001,Schillerschule Aalen,Aalen,Baden-Württemberg,E10305068,https://www.gemeinschaftsschule-aalen.de,,,info@gemeinschaftsschule-aalen.de,,,Erasmus page: schillerschule.de/schulleben/erasmus/
DE-0002,Robert Schuman Realschule Achern,Achern,Baden-Württemberg,E10369882,https://www.robert-schuman-realschule.com,Joschka Metzinger,Schulleiter,poststelle@04119234.schule.bwl.de,07841 6421730,,Schulleiter trovato
DE-0003,Gymnasium Ebingen,Albstadt,Baden-Württemberg,E10344836,https://gymnasiumebingen.de,,,info@gymnasiumebingen.de,07431 53028,,Scambi Spagna/Francia/Inghilterra/USA
DE-0004,Gemeinschaftsschule Althengstett,Althengstett,Baden-Württemberg,E10231300,https://www.gms-althengstett.de,Antonia Ginter,Erasmus-Lehrerin,verwaltung@gms-althengstett.de,07051 8090610,,Co-referente: Svenja Heger
DE-0005,Gemeinschaftsschule Argenbühl,Argenbühl,Baden-Württemberg,E10133985,https://www.gms-argenbuehl.de,,,poststelle@gms-eglofs.schule.bwl.de,07566 940000,,Erasmus+ accreditata 3a volta
DE-0006,Conrad-Weiser Schule,Aspach,Baden-Württemberg,E10153713,https://www.cws-aspach.de,,,poststelle@04126135.schule.bwl.de,07191 20313,,Erasmus con Francia e Olanda
DE-0007,Friedrich-List-Gymnasium,Asperg,Baden-Württemberg,E10007162,https://flg-asperg.de,,,poststelle@04103482.schule.bwl.de,07141 68121-10,,Europa macht Schule
DE-0008,Gemeinschaftsschule Moerikeschule Backnang,Backnang,Baden-Württemberg,E10042558,https://www.moerikeschule-backnang.de,Diana Bunz,Schulleiterin,schule@moerikeschule-backnang.de,07191 32640,,Email dirigente: bunzdi@moerikeschule-backnang.de
DE-0009,Friedrich-von-Alberti-Gymnasium,Bad Friedrichshall,Baden-Württemberg,E10340530,https://www.fvag.net,,,sekretariat@fvag.net,07136 832800,,
DE-0010,Deutschorden-Gymnasium,Bad Mergentheim,Baden-Württemberg,E10345973,https://www.dog-mgh.de,,,sekretariat@dog-mgh.de,07931 57-4070,,
DE-0011,Störck-Gymnasium,Bad Saulgau,Baden-Württemberg,E10165821,https://www.stoerckgymnasium.de,Regina Kliebhan,Referente scambio Francia,poststelle@gym-bad-saulgau.schule.bwl.de,07581 48737-0,,Scambio Francia cl.8-9
DE-0012,Gymnasium Bad Waldsee,Bad Waldsee,Baden-Württemberg,E10144428,https://www.gymibw.de,,,sekretariat@gymibw.de,07524 97669 400,,Partner: Italia/Lanzarote/Ungheria
DE-0013,Elsenztalschule Bammental,Bammental,Baden-Württemberg,E10030065,https://www.elsenztalschule.de,,,info@elsenztalschule.de,06223 95230,,Email docenti: cognome@elsenztalschule.de
DE-0014,Gymnasium Bammental,Bammental,Baden-Württemberg,E10170175,https://www.gymnasium-bammental.eu,,,poststelle@gymnasium-bammental.de,06223 9521-0,,Erasmus+ accreditato; bilingue EN
DE-0015,Friedrich Schelling Schule,Besigheim,Baden-Württemberg,E10307750,https://www.fss-gms.de,,,poststelle@04116269.schule.bwl.de,07143 803010,,GMS dal 2014/15
DE-0016,Dollinger-Realschule Biberach,Biberach,Baden-Württemberg,E10244256,https://www.dollinger-realschule.de,,Erasmus-Team,erasmus@dollinger-realschule.de,07351 51-422,,Erasmus+ dal 2021/22. Partner: Dublino. EMAIL ERASMUS DEDICATA
DE-0017,Wieland-Gymnasium,Biberach an der Riss,Baden-Württemberg,E10150398,https://www.wieland-gymnasium.de,,Erasmus-Team,kontakt@wieland-gymnasium.de,07351 51392,,Erasmus 2022-2027. erasmus.wieland-gymnasium.de
DE-0018,Waldschule Gemeinschaftsschule Bissingen,Bietigheim Bissingen,Baden-Württemberg,E10063103,https://www.waldschule-bissingen.de,Mateja Vukovic,Erasmus-Koordinatorin,sekretariat@waldschule-bissingen.de,07142 779060,,Schulleiter: Markus Nutz
DE-0019,Gymnasium I im Ellental,Bietigheim-Bissingen,Baden-Württemberg,E10117137,https://www.ellentalgymnasien.de,,,,07142 74503,,Erasmus+ accreditato dal 2021. Scambio Sucy/Parigi
DE-0020,Otto Hahn-Gymnasium Böblingen,Böblingen,Baden-Württemberg,E10279842,https://www.ohg-boeblingen.de,,,Poststelle@ohg-bb.schule.bwl.de,07031 669-4473,,
DE-0021,Martin-Schongauer Gymnasium Breisach,Breisach,Baden-Württemberg,E10279967,https://msg-breisach.de,,,msg@lkbh.de,07667 906040,,
DE-0022,"Edith-Stein Gymnasium, Bretten",Bretten,Baden-Württemberg,E10345781,https://www.esg-bretten.info,,,edith@esg-bretten.de,07252 9518-0,,
DE-0023,Privates Gymnasium St. Paulusheim,Bruchsal,Baden-Württemberg,E10192853,https://www.paulusheim.de,,,schule@paulusheim.de,07251 385650,,Erasmus-PLUS Schule
DE-0024,Burghardt Gymnasium,Buchen (Odenwald),Baden-Württemberg,E10088211,https://www.bgbuchen.de,,,sekretariat@bgbuchen.de,06281 5288-0,,Partner: GB/Norvegia/Portogallo
DE-0025,Realschule Eberbach,Eberbach,Baden-Württemberg,E10010590,https://www.rseberbach.de,Wolfgang Bloch,Erasmus-Koordinator,w.bloch@rseberbach.de,06271 9219-0,,Co-coord: Jochen Giede. Progetto: Our Digital Lives
DE-0026,Friedrich Schiller Gemeinschaftsschule,Eislingen,Baden-Württemberg,E10366083,https://www.fsg-eislingen.de,,,,,,Prima Erasmus+ Schule a Eislingen. Email non trovata
DE-0027,Hariolf-Gymnasium,Ellwangen,Baden-Württemberg,E10175057,https://www.hg-ellwangen.de,,,hariolf-gymnasium@ellwangen.de,07961 84815,,Erasmus+ Schule
DE-0028,"Peutinger Gymnasium, Ellwangen",Ellwangen,Baden-Württemberg,E10185420,https://www.peutinger-gymnasium.de,,,sekretariat@peutinger-gymnasium.de,07961 8485 0,,
DE-0029,Eugen-Bolz-Realschule,Ellwangen (Jagst),Baden-Württemberg,E10263900,https://www.ebr-ellwangen.de,,,,07961 84800,,Email non trovata via web
DE-0030,Goethe-Gymnasium Emmendingen,Emmendingen,Baden-Württemberg,E10030515,https://gge-em.de,,,poststelle@gge.em.schule,07641 452-7300,,Erasmus+ Schule. Registrato ESEP
DE-0031,Gymnasium Ettenheim,Ettenheim,Baden-Württemberg,E10166870,https://www.gymnasium-ettenheim.de,,,poststelle@04105880.schule.bwl.de,07822 30080,,Scambi: Francia/Irlanda/Polonia/Cina/Cile
DE-0032,Eichendorff-Gymnasium Ettlingen,Ettlingen,Baden-Württemberg,E10050990,https://www.eichendorff-gymnasium.de,,,poststelle@eg-ettlingen.de,07243 101-347,,Erasmus+ Schule
DE-0033,Freie Christliche Schule Freiburg,Freiburg,Baden-Württemberg,E10078535,https://www.fcs-freiburg.de,,,info@fcs-freiburg.de,0761 89777-11,,Erasmus-Schule
DE-0034,Montessori Zentrum ANGELL Freiburg GmbH,Freiburg,Baden-Württemberg,E10304456,https://www.angell-montessori.de,Claude Kuhnen,,c.kuhnen@angell.de,0761 70329-0,,
DE-0035,Theodor-Heuss-Gymnasium Freiburg,Freiburg,Baden-Württemberg,E10338081,,,,,,,Non cercato in questo batch
